date,type,registration,operator,fatalities,location,country,cat,year
24-FEB-2009,Lockheed C-130H Hercules,SU-BAC/1272,Egyptian AF,0.0,Egyptian AF,Egypt,A1,2009
25-FEB-2009,Boeing 737-8F2,TC-JGE,THY,9.0,THY,Netherlands,A1,2009
28-FEB-2009,Saab 2000,YR-SBI,Carpatair,0.0,Carpatair,Romania,A2,2009
01-MAR-2009,Beech 100 King Air,YV2129,Command Air,6.0,Command Air,Venezuela,A1,2009
03-MAR-2009,Swearingen SA226-TC Metro II,C-FSLZ,Perimeter Airlines,0.0,Perimeter Airlines,Canada,A2,2009
04-MAR-2009,Cessna 208 Caravan I,5X-ASI,Air Serv Limited,0.0,Air Serv Limited,South Sudan,A2,2009
06-MAR-2009,National Aerospace Laboratories (NAL) Saras,VT-XRM,National Aerospace Laboratories,3.0,National Aerospace Laboratories,India,A1,2009
06-MAR-2009,GAF Nomad N.22B,L9-5/25,Thai AF,1.0,Thai AF,Thailand,A1,2009
09-MAR-2009,Ilyushin Il-76T,S9-SAB,Aerolift,11.0,Aerolift,Uganda,A1,2009
09-MAR-2009,MD-90-30,PK-LIL,Lion Air,0.0,Lion Air,Indonesia,A1,2009
13-MAR-2009,Boeing E-8C (707),93-0597,USAF,0.0,USAF,Qatar,A1,2009
19-MAR-2009,Beech 200 Super King Air,AEE-101,Ecuador Army,,Ecuador Army,Ecuador,A1,2009
20-MAR-2009,Airbus A340-541,A6-ERG,Emirates,0.0,Emirates,Australia,A2,2009
23-MAR-2009,MD-11F,N526FE,FedEx,2.0,FedEx,Japan,A1,2009
26-MAR-2009,Tupolev Tu-134AK,RA-65981,Russian AF,0.0,Russian AF,Russia,A1,2009
29-MAR-2009,Cessna 550 Citation II,N44FR,Fritzi Jet LLC,0.0,Fritzi Jet LLC,USA,A2,2009
31-MAR-2009,PZL-Mielec M28TD Bryza 2RF,1007,Polish Navy,4.0,Polish Navy,Poland,A1,2009
02-APR-2009,BN-2A Islander,RP-C764,Chemtrad Aviation,7.0,Chemtrad Aviation,Philippines,A1,2009
06-APR-2009,Fokker F-27 Friendship 400M,A-2703,Indonesian AF,24.0,Indonesian AF,Indonesia,A1,2009
09-APR-2009,BAe-146-300,PK-BRD,Aviastar Mandiri,6.0,Aviastar Mandiri,Indonesia,A1,2009
11-APR-2009,Cessna 208B Grand Caravan,RDPL-34144,Lao Air,0.0,Lao Air,Laos,A2,2009
17-APR-2009,Cessna 208B Grand Caravan,YV1181,LÃ­nea TurÃ­stica Aereotuy - LTA,1.0,LÃ­nea TurÃ­stica Aereotuy - LTA,Venezuela,A1,2009
19-APR-2009,Boeing 737-8AS,C-FTCZ,CanJet Airlines,0.0,CanJet Airlines,Jamaica,H2,2009
20-APR-2009,Boeing 767-36NER,CN-RNT,RAM,0.0,RAM,USA,A2,2009
21-APR-2009,Bombardier DHC-8-402Q Dash 8,C-GLQD,Porter Airlines,0.0,Porter Airlines,Canada,A2,2009
22-APR-2009,Rockwell Sabreliner 60,N103TA,Private,0.0,Private,Gambia,A1,2009
25-APR-2009,Lockheed SP-2H Neptune,N442NA,Neptune Aviation Services,3.0,Neptune Aviation Services,USA,A1,2009
26-APR-2009,Douglas DC-3C,N136FS,Four Star Air Cargo,0.0,Four Star Air Cargo,Puerto Rico,A1,2009
27-APR-2009,Boeing 737-2K9,XA-MAF,Magnicharters,0.0,Magnicharters,Mexico,A1,2009
29-APR-2009,Boeing 737-275,TL-ADM,Bako Air,7.0,Bako Air,D.R. Congo,A1,2009
30-APR-2009,Antonov An-2,RF-00842,Yakutsk ASK ROSTO,3.0,Yakutsk ASK ROSTO,Russia,A1,2009
04-MAY-2009,Airbus A320-211,N311US,Northwest Airlines,0.0,Northwest Airlines,USA,A2,2009
04-MAY-2009,Antonov An-2,no registeration,South Korea AF,0.0,South Korea AF,South Korea,A1,2009
06-MAY-2009,DC-10-30ER,N139WA,World Airways,0.0,World Airways,USA,A1,2009
06-MAY-2009,Cessna 208B Grand Caravan,D-FOLE,OLT,0.0,OLT,Germany,A2,2009
08-MAY-2009,Tupolev Tu-154M,EP-MCR,Iran Airtour,0.0,Iran Airtour,Iran,A1,2009
08-MAY-2009,MD-90-30,HZ-APW,Saudi Arabian,0.0,Saudi Arabian,Saudi Arabia,A1,2009
08-MAY-2009,Boeing 747-48EF,HL7419,Asiana Airlines,0.0,Asiana Airlines,Germany,A2,2009
10-MAY-2009,BAe 3212 Jetstream 32,YV1467,private,1.0,private,Honduras,A1,2009
11-MAY-2009,Lockheed C-130B Hercules,A-1302,Indonesian AF,0.0,Indonesian AF,Indonesia,A1,2009
18-MAY-2009,Antonov An-24T,EK-46839,"Air Atlantic Congo, lsf Phoenix Avia",0.0,"Air Atlantic Congo, lsf Phoenix Avia",Ethiopia,A1,2009
20-MAY-2009,Lockheed L-100-30 Hercules,A-1325,Indonesian AF,,Indonesian AF,Indonesia,A1,2009
22-MAY-2009,Beech B300 King Air 350,PR-MOZ,Santa Coloma Investimentos,14.0,Santa Coloma Investimentos,Brazil,A1,2009
26-MAY-2009,Antonov An-26,9Q-CSA,Services Air,3.0,Services Air,D.R. Congo,A1,2009
28-MAY-2009,DHC-5D Buffalo,AEE-501,Ecuador Army,0.0,Ecuador Army,Ecuador,A1,2009
30-MAY-2009,ATR 42-500,AP-BHO,PIA,0.0,PIA,Pakistan,A2,2009
01-JUN-2009,Airbus A330-203,F-GZCP,Air France,228.0,Air France,Atlantic Ocean,A1,2009
02-JUN-2009,DHC-6 Twin Otter 200,8Q-MAG,"Maldivian Air Taxi, lsf Kenn Borek Air",0.0,"Maldivian Air Taxi, lsf Kenn Borek Air",Maldives,A1,2009
03-JUN-2009,DHC-6 Twin Otter 300,SE-GEE,Skydive Airlines,0.0,Skydive Airlines,Sweden,A2,2009
03-JUN-2009,MD-11F,B-2175,China Cargo Airlines,0.0,China Cargo Airlines,China,A2,2009
03-JUN-2009,Boeing 737-59D,VP-BXM,Aeroflot-Nord,0.0,Aeroflot-Nord,Ukraine,A1,2009
06-JUN-2009,Fokker F-28 Fellowship 4000,XY-ADW,Myanma Airways,0.0,Myanma Airways,Myanmar,A1,2009
07-JUN-2009,BN-2A-27 Islander,C-FJJR,Strait Air,1.0,Strait Air,Canada,A1,2009
08-JUN-2009,Antonov An-32,K3062,Indian AF,13.0,Indian AF,India,A1,2009
09-JUN-2009,Antonov An-2R,EX-156,Valor Air,0.0,Valor Air,Kyrgyzstan,A1,2009
09-JUN-2009,MD-11F,HZ-ANB,Saudi Arabian,0.0,Saudi Arabian,Sudan,A2,2009
10-JUN-2009,Beech 200C Super King Air,ZS-PNZ,Aviation Asset Management,0.0,Aviation Asset Management,South Africa,A2,2009
13-JUN-2009,Antonov An-2R,RF-00428,ROSTO Primorsk-Ahtarska,0.0,ROSTO Primorsk-Ahtarska,Russia,A1,2009
14-JUN-2009,Dornier 328-110,PK-TXN,Express Air,0.0,Express Air,Indonesia,A2,2009
18-JUN-2009,Learjet 40,N998AL,Alex Lyon & Sons,0.0,Alex Lyon & Sons,USA,A1,2009
20-JUN-2009,Antonov An-2,no registeration,Unknown,0.0,Unknown,Ukraine,O1,2009
